d1,d2,d1_url
Lars von Trier,,/name/nm0001885/
David Fincher,,/name/nm0000399/
Paul Thomas Anderson,,/name/nm0000759/
Joel, Ethan Coen,/name/nm0001054/
Edward Yang,,/name/nm0945981/
Béla Tarr, Ágnes Hranitzky,/name/nm0850601/
Paul Thomas Anderson,,/name/nm0000759/
Don Hertzfeldt,,/name/nm0381116/
Richard Linklater,,/name/nm0000500/
Martin Scorsese,,/name/nm0000217/
Ingmar Bergman,,/name/nm0000005/
Christopher Nolan,,/name/nm0634240/
Abdellatif Kechiche,,/name/nm0444244/
Andrey Zvyagintsev,,/name/nm1168657/
Michael Haneke,,/name/nm0359734/
David Lynch,,/name/nm0000186/
Ulrich Seidl,,/name/nm0782430/
László Nemes,,/name/nm1841577/
Quentin Tarantino,,/name/nm0000233/
Alejandro González Iñárritu,,/name/nm0327944/
Apichatpong Weerasethakul,,/name/nm0917405/
David Lynch,,/name/nm0000186/
Béla Tarr, Ágnes Hranitzky,/name/nm0850601/
Wang Bing,,/name/nm7432856/
Alain Cavalier,,/name/nm0146760/
Leos Carax,,/name/nm0136021/
Gus Van Sant,,/name/nm0001814/
Jia Zhangke,,/title/tt4092686/
Guillermo Del Toro,,/name/nm0868219/
Hayao Miyazaki,,/name/nm0594503/
Terrence Malick,,/name/nm0000517/
Ken Jacobs,,/name/nm0414499/
Phil Solomon,,/name/nm0813409/
Jean-Luc Godard,,/name/nm0000419/
Lewis Klahr,,/name/nm0458185/
Park Chan-wook,,/name/nm0661791/
What a Life!) (Ernie Gehr,,
Janie Geiser,,/name/nm0312026/
Nikolaus Geyrhalter,,/name/nm0315430/
Jia Zhangke,,/title/tt4092686/
Rajat Kapoor,,/name/nm0438494/
Chaitanya Tamhane,,/name/nm4058904/
Dibakar Banerjee,,/name/nm1962313/
Mira Nair,,/name/nm0619762/
Anurag Kashyap,,/name/nm0440604/
Tigmanshu Dhulia,,/name/nm0223606/
Vikramaditya Motwane,,/name/nm0003939/
Sudhir Mishra,,/name/nm0592803/
Vishal Bhardwaj,,/name/nm0080235/
Ashutosh Gowariker,,/name/nm0332950/
Paul Thomas Anderson,,/name/nm0000759/
David Lynch,,/name/nm0000186/
Steven Spielberg,,/name/nm0000229/
Abdellatif Kechiche,,/name/nm0444244/
Hayao Miyazaki,,/name/nm0594503/
Nuri Bilge Ceylan,,/name/nm0149196/
Wong Kar-wai,,/name/nm0939182/
Éric Rohmer,,/name/nm0006445/
Edward Yang,,/name/nm0945981/
Aleksey Fedorchenko,,/name/nm1922735/
Charlie Kaufman,,/name/nm0442109/
Michel Gondry,,/name/nm0327273/
Richard Linklater,,/name/nm0000500/
George Miller,,/name/nm0004306/
Miranda July,,/name/nm0432380/
David Fincher,,/name/nm0000399/
Joel, Ethan Coen,/name/nm0001054/
Jim Jarmusch,,/name/nm0000464/
Ava DuVernay,,/name/nm1148550/
Michael Bay,,/name/nm0000881/
Pete Docter,,/name/nm0230032/
Spike Lee,,/name/nm0000490/
Sarah Polley,,/name/nm0001631/
Spike Jonze,,/name/nm0005069/
Alfonso Cuarón,,/name/nm0190859/
Richard Linklater,,/name/nm0000500/
Joshua Oppenheimer,,/name/nm1484791/
Ryan Coogler,,/name/nm3363032/
Gina Prince-Bythewood,,/name/nm0697656/
Rian Johnson,,/name/nm0426059/
Tsai Ming-liang,,/title/tt5012990/
Asghar Farhadi,,/name/nm1410815/
Kenneth Lonergan,,/name/nm0518836/
Abbas Kiarostami,,/name/nm0452102/
Claire Denis,,/name/nm0219136/
Jafar Panahi,,/name/nm0070159/
Sean Baker,,/name/nm0048918/
Wes Anderson,,/name/nm0027572/
Harmony Korine,,/name/nm0005101/
Apichatpong Weerasethakul,,/name/nm0917405/
Jean-Luc Godard,,/name/nm0000419/
Éric Rohmer,,/name/nm0006445/
Hou Hsiao-hsien,,/title/tt4092526/
Clint Eastwood,,/name/nm0000142/
Pedro Costa,,/name/nm0182276/
Wes Anderson,,/name/nm0027572/
Leos Carax,,/name/nm0136021/
